,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,g/cbcm,,
Model DESC,model_name,GE-27 Abrasion volume,cm3,Density,Specific Gravity,Shoe SA (cm2),SA error
BOLTON ESSENTIAL MU,Reebok Bolton,53,0.053,1.1,1.09,,
"""NIZZA LO CL I NIZZA LO CL""",Adidas Nizza(50A syn) white,49,0.049,1.15,1.0857,82.70,
NIZZA LO CL,Adidas Nizza(60A) black,74,0.074,1.15,1.1235,82.70,
ULTRA TECH,Adidas Ultratech,62.3,0.0623,1.11,1.124,49.2000,
ULTRABOOST S.,Ultra Boost Stella,184,0.184,1.15,1.12,64.9000,
F/22 PK,adidas F/22 Prime Knit,140,0.14,1.1,1.2,49.8000,
TERREX CC BOAT,Adidas Terrex Boat,140,0.14,1.1,1.2,50.6,
REEBOK ENDLESS ROAD D,Reebok Endless Run,72.4,0.0724,1.1,1.12,,
ULTRABOOST PARLEY,Adidas ultraBOOST Parley black,166,0.166,1.1,1.11,58.7593,(+/- 1e-06)
ULTRABOOST PARLEY,Adidas ultraBOOST Parley white,166,0.166,1.1,1.11,58.7593,(+/- 1e-06)
ADIZERO PRIME LTD,Parley Prime LTD ADIZERO white,166,0.166,1.1,1.11,63.3000,
ULTRABOOST PARLEY,Adidas ultraBOOST Parley,58,0.058,1.1,1.12,58.7593,(+/- 1e-06)
ADIZERO PRIME LTD,Parley Prime LTD ADIZERO black,58,0.058,1.1,1.12,63.3000,
,Adidas Astrarun (60A),,,,,,